;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito;result
8506;Femenino;industria;fabrica de ;castilla;3;5.0;30/09/2016;6890000;microempresarial;"Femenino; industria; fabrica de ; castilla; 3; 5.0; 42643; 6890000; microempresarial"
8507;Femenino;comercio;variedades;buenos aires;3;9.0;29/03/2016;6890000;microempresarial;"Femenino; comercio; variedades; buenos aires; 3; 9.0; 42458; 6890000; microempresarial"
8508;Femenino;comercio;variedades;castilla;3;5.0;11/08/2017;2000000;microempresarial;"Femenino; comercio; variedades; castilla; 3; 5.0; 42958; 2000000; microempresarial"
8509;Femenino;servicio;venta de lacteos;buenos aires;1;9.0;27/10/2017;7000000;microempresarial;"Femenino; servicio; venta de lacteos; buenos aires; 1; 9.0; 43035; 7000000; microempresarial"
8510;Femenino;COMERCIO;almacen de ropa en ;granizal;2;1.0;28/03/2019;8200000;Microempresarial;"Femenino; COMERCIO; almacen de ropa en ; granizal; 2; 1.0; 43552; 8200000; Microempresarial"
8511;Femenino;industria;fabrica de ;;1;7.0;29/08/2018;5000000;microempresarial;"Femenino; industria; fabrica de ; ; 1; 7.0; 43341; 5000000; microempresarial"
8512;Masculino;servicio;Mantenimiento En ;santa cruz;2;2.0;16/07/2018;7800000;microempresarial;"Masculino; servicio; Mantenimiento En ; santa cruz; 2; 2.0; 43297; 7800000; microempresarial"
8513;Femenino;comercio;bares;castilla;3;5.0;27/07/2018;7800000;microempresarial;"Femenino; comercio; bares; castilla; 3; 5.0; 43308; 7800000; microempresarial"
8514;Masculino;comercio;Legumbreria;moravia;2;4.0;3/08/2016;6890000;microempresarial;"Masculino; comercio; Legumbreria; moravia; 2; 4.0; 42585; 6890000; microempresarial"
8515;Femenino;industria;fabrica de ;belencito;2;13.0;12/12/2017;3000000;microempresarial;"Femenino; industria; fabrica de ; belencito; 2; 13.0; 43081; 3000000; microempresarial"
8516;Femenino;industria;fabrica de ;santo domingo savio ;2;1.0;3/07/2018;800000;microempresarial;"Femenino; industria; fabrica de ; santo domingo savio ; 2; 1.0; 43284; 800000; microempresarial"
8517;Masculino;servicio;lavadero de ;;2;7.0;3/10/2018;7800000;microempresarial;"Masculino; servicio; lavadero de ; ; 2; 7.0; 43376; 7800000; microempresarial"
8518;Femenino;comercio;panaderia;GRANIZAL;2;1.0;30/05/2018;4000000;microempresarial;"Femenino; comercio; panaderia; GRANIZAL; 2; 1.0; 43250; 4000000; microempresarial"
8519;Femenino;industria;fabrica de ;buenos aires;2;9.0;22/09/2017;4000000;microempresarial;"Femenino; industria; fabrica de ; buenos aires; 2; 9.0; 43000; 4000000; microempresarial"
8520;Masculino;comercio;restaurante;barrio caicedo;2;9.0;26/02/2018;7800000;microempresarial;"Masculino; comercio; restaurante; barrio caicedo; 2; 9.0; 43157; 7800000; microempresarial"
8521;Masculino;comercio;variedades;lopez de mesa;3;7.0;16/03/2017;7300000;microempresarial;"Masculino; comercio; variedades; lopez de mesa; 3; 7.0; 42810; 7300000; microempresarial"
